# Engine event dates; generated by tools/ExportEngineEventDates.java.
# Holy days: 1980-2050; recurrences only outside captured years 2000-2030.
# Calculated dates, not official holiday declarations.
# columns=id,date
calculated:royal_ploughing_ceremony	1988-05-04
sil	1988-05-08
sil	1988-05-15
sil	1988-05-23
sil	1988-05-30
sil	1988-06-07
sil	1988-06-13
sil	1988-06-21
sil	1988-06-28
sil	1988-07-06
sil	1988-07-13
calculated:buddhist_lent_candles_making_day	1988-07-21
sil	1988-07-21
calculated:the_ordained_dragon_monk	1988-07-27
sil	1988-07-28
calculated:beginning_buddhist_lent	1988-07-29
sil	1988-08-05
sil	1988-08-12
sil	1988-08-20
sil	1988-08-27
sil	1988-09-04
sil	1988-09-10
sil	1988-09-18
sil	1988-09-25
calculated:ben_1	1988-09-26
calculated:ben_2	1988-09-27
calculated:ben_3	1988-09-28
calculated:ben_4	1988-09-29
calculated:ben_5	1988-09-30
calculated:ben_6	1988-10-01
calculated:ben_7	1988-10-02
calculated:ben_8	1988-10-03
sil	1988-10-03
calculated:ben_9	1988-10-04
calculated:ben_10	1988-10-05
calculated:ben_11	1988-10-06
calculated:ben_12	1988-10-07
calculated:ben_13	1988-10-08
calculated:pchum_ben_festival	1988-10-09
calculated:pchum_ben_festival	1988-10-10
sil	1988-10-10
calculated:pchum_ben_festival	1988-10-11
sil	1988-10-18
calculated:ending_buddhist_lent	1988-10-25
sil	1988-10-25
calculated:kathen_kal	1988-10-26
sil	1988-11-02
sil	1988-11-08
sil	1988-11-16
calculated:water_festival	1988-11-22
calculated:water_festival	1988-11-23
sil	1988-11-23
calculated:water_festival	1988-11-24
sil	1988-12-01
sil	1988-12-08
sil	1988-12-16
sil	1988-12-23
calculated:christmas_day	1988-12-25
sil	1988-12-31
calculated:new_year_day	1989-01-01
sil	1989-01-06
sil	1989-01-14
sil	1989-01-21
sil	1989-01-29
sil	1989-02-05
sil	1989-02-13
calculated:valentine_day	1989-02-14
calculated:meak_bochea	1989-02-20
sil	1989-02-20
sil	1989-02-28
sil	1989-03-06
sil	1989-03-14
sil	1989-03-21
sil	1989-03-29
sil	1989-04-05
calculated:khmer_new_year_1	1989-04-13
sil	1989-04-13
calculated:khmer_new_year_2	1989-04-14
calculated:khmer_new_year_2	1989-04-15
calculated:khmer_new_year_3	1989-04-16
sil	1989-04-20
sil	1989-04-28
sil	1989-05-04
sil	1989-05-12
calculated:visak_bochea	1989-05-19
sil	1989-05-19
calculated:royal_ploughing_ceremony	1989-05-23
sil	1989-05-27
sil	1989-06-03
sil	1989-06-11
sil	1989-06-18
sil	1989-06-26
sil	1989-07-03
calculated:buddhist_lent_candles_making_day	1989-07-11
sil	1989-07-11
calculated:the_ordained_dragon_monk	1989-07-17
sil	1989-07-18
calculated:beginning_buddhist_lent	1989-07-19
sil	1989-07-26
sil	1989-08-02
sil	1989-08-10
sil	1989-08-17
sil	1989-08-25
sil	1989-08-31
sil	1989-09-08
sil	1989-09-15
calculated:ben_1	1989-09-16
calculated:ben_2	1989-09-17
calculated:ben_3	1989-09-18
calculated:ben_4	1989-09-19
calculated:ben_5	1989-09-20
calculated:ben_6	1989-09-21
calculated:ben_7	1989-09-22
calculated:ben_8	1989-09-23
sil	1989-09-23
calculated:ben_9	1989-09-24
calculated:ben_10	1989-09-25
calculated:ben_11	1989-09-26
calculated:ben_12	1989-09-27
calculated:ben_13	1989-09-28
calculated:pchum_ben_festival	1989-09-29
calculated:pchum_ben_festival	1989-09-30
sil	1989-09-30
calculated:pchum_ben_festival	1989-10-01
sil	1989-10-08
calculated:ending_buddhist_lent	1989-10-15
sil	1989-10-15
calculated:kathen_kal	1989-10-16
sil	1989-10-23
sil	1989-10-29
sil	1989-11-06
calculated:water_festival	1989-11-12
calculated:water_festival	1989-11-13
sil	1989-11-13
calculated:water_festival	1989-11-14
sil	1989-11-21
sil	1989-11-28
sil	1989-12-06
sil	1989-12-13
sil	1989-12-21
calculated:christmas_day	1989-12-25
sil	1989-12-27
calculated:new_year_day	1990-01-01
sil	1990-01-04
sil	1990-01-11
sil	1990-01-19
sil	1990-01-26
sil	1990-02-03
calculated:meak_bochea	1990-02-10
sil	1990-02-10
calculated:valentine_day	1990-02-14
sil	1990-02-18
sil	1990-02-24
sil	1990-03-04
sil	1990-03-11
sil	1990-03-19
sil	1990-03-26
sil	1990-04-03
sil	1990-04-10
calculated:khmer_new_year_1	1990-04-14
calculated:khmer_new_year_2	1990-04-15
calculated:khmer_new_year_3	1990-04-16
sil	1990-04-18
sil	1990-04-24
sil	1990-05-02
calculated:visak_bochea	1990-05-09
sil	1990-05-09
calculated:royal_ploughing_ceremony	1990-05-13
sil	1990-05-17
sil	1990-05-24
sil	1990-06-01
sil	1990-06-08
sil	1990-06-16
sil	1990-06-22
calculated:buddhist_lent_candles_making_day	1990-06-30
sil	1990-06-30
calculated:the_ordained_dragon_monk	1990-07-06
sil	1990-07-07
calculated:beginning_buddhist_lent	1990-07-08
sil	1990-07-15
sil	1990-07-22
sil	1990-07-30
sil	1990-08-06
sil	1990-08-14
sil	1990-08-20
sil	1990-08-28
sil	1990-09-04
calculated:ben_1	1990-09-05
calculated:ben_2	1990-09-06
calculated:ben_3	1990-09-07
calculated:ben_4	1990-09-08
calculated:ben_5	1990-09-09
calculated:ben_6	1990-09-10
calculated:ben_7	1990-09-11
calculated:ben_8	1990-09-12
sil	1990-09-12
calculated:ben_9	1990-09-13
calculated:ben_10	1990-09-14
calculated:ben_11	1990-09-15
calculated:ben_12	1990-09-16
calculated:ben_13	1990-09-17
calculated:pchum_ben_festival	1990-09-18
calculated:pchum_ben_festival	1990-09-19
sil	1990-09-19
calculated:pchum_ben_festival	1990-09-20
sil	1990-09-27
calculated:ending_buddhist_lent	1990-10-04
sil	1990-10-04
calculated:kathen_kal	1990-10-05
sil	1990-10-12
sil	1990-10-18
sil	1990-10-26
calculated:water_festival	1990-11-01
calculated:water_festival	1990-11-02
sil	1990-11-02
calculated:water_festival	1990-11-03
sil	1990-11-10
sil	1990-11-17
sil	1990-11-25
sil	1990-12-02
sil	1990-12-10
sil	1990-12-16
sil	1990-12-24
calculated:christmas_day	1990-12-25
sil	1990-12-31
calculated:new_year_day	1991-01-01
sil	1991-01-08
sil	1991-01-15
sil	1991-01-23
