# Khmer Calendar event snapshot v1
# source=https://khmer-lunar-calendar.com/
# captured_at=2026-09-10T05:42:30.174Z
# coverage=2000-01-01/2030-12-31
# database_sha256=6efda12f4ec4435fe43e3a11da00bea2e2d305149d64062c5c60f04f7f5765d1
# columns=id,date,title_km,title_en,official_source_url
9180db70414754fd712af6ac	2000-09-20	បិណ្ឌ ៧	Ben 7	
723406562808f7e482b3dafe	2000-09-21	ទិវា​សន្តិ​ភាព​អន្តរ​ជាតិ	International Day of Peace	
b0a82c831757f3ebdc051ca3	2000-09-21	បិណ្ឌ ៨	Ben 8	
e6036a56885d127a464c36d5	2000-09-22	បិណ្ឌ ៩	Ben 9	
c24e6a21f3fa4faff3ae91d9	2000-09-23	បិណ្ឌ ១០	Ben 10	
1b67b6151a1369f8975f87c1	2000-09-24	បិណ្ឌ ១១	Ben 11	
fa13bc6cf3a5caacd97d58ea	2000-09-24	ទិវា​ប្រកាស​រដ្ឋ​ធម្មនុញ្ញ ខួបលើកទី៧	Constitution Day	
39f2f25014f26528d150462e	2000-09-25	បិណ្ឌ ១២	Ben 12	
5351356473d11a503b1651ec	2000-09-26	បិណ្ឌ ១៣	Ben 13	
03f8de5353e30e21f0f2792f	2000-09-27	ពិធី​បុណ្យ​ភ្ជុំ​បិណ្ឌ	Pchum Ben Festival	
86684e9e0656d2781e3d71cb	2000-09-27	ទិវា​ទេស​ចរណ៍​ពិ​ភព​លោក	World Tourism Day	
62764fe106416a1eaa4d476b	2000-09-28	ពិធី​បុណ្យ​ភ្ជុំ​បិណ្ឌ	Pchum Ben Festival	
4620545e978608536dbdcac8	2000-09-29	ពិធី​បុណ្យ​ភ្ជុំ​បិណ្ឌ	Pchum Ben Festival	
764bb43e3bea53a6d89a2e20	2000-10-01	ទិវា​មនុស្ស​ចាស់​កម្ពុជា  និងទិវាមនុស្សចាស់អន្តរជាតិ ខួបលើកទី២	Cambodian Older Persons Day and the International Day of Older Persons	
b0caf9dd905b4b2b217268f7	2000-10-05	ទិវា​គ្រូ​បង្រៀន​ពិភព​លោក	World Teacher's Day	
d5f49e60270accd6e28d0bd8	2000-10-13	ចេញ​​ព្រះ​វស្សា	Ending of Buddhist Lent	
5d0a3a5efb08d3670942268f	2000-10-14	កឋិន​កាល	Kathen Kal	
bb22eaad6eb011b74d0f0c63	2000-10-23	ទិវារំលឹក​ខួប​នៃ​កិច្ចព្រមព្រៀង​សន្តិភាព​ទីក្រុង​ប៉ារីស	Paris Peace Agreement Day	
25a46136b7827bb70e847547	2000-10-31	បុណ្យ​ហាឡូវីន	Halloween	
e181f18d3c92bb0e6ea24770	2000-11-09	ពិធី​បុណ្យ​ឯករាជ្យ​ជាតិ ខួបលើកទី៤៧	Independence Day	
d246bc20c19d59037bf58c26	2000-11-10	ព្រះ​រាជ​ពិធី​បុណ្យ​អុំ​ទូក បណ្ដែត​ប្រទីប និង​សំពះ​ព្រះ​ខែ អកអំបុក	Water Festival	
8386800a670d66c725e37885	2000-11-11	ព្រះ​រាជ​ពិធី​បុណ្យ​អុំ​ទូក បណ្ដែត​ប្រទីប និង​សំពះ​ព្រះ​ខែ អកអំបុក	Water Festival	
